path,main_contract_name,solc_version,trans_count
/home/yy/Dataset/mainnet/e5/e5a9db2978818b45b01becd9c8e03f46805cf896_ICOCappedRefundableCrowdsale.sol,ICOCappedRefundableCrowdsale,v0.4.26,122
/home/yy/Dataset/mainnet/f5/f5624868ccf892d86444ec4148489a0b307bb2e4_SuperCoinViewToken.sol,SuperCoinViewToken,v0.4.26,49
/home/yy/Dataset/mainnet/79/790633cdffac083ad1c861c32b51e7c7288a4b13_ERC20.sol,ERC20,v0.4.26,12
/home/yy/Dataset/mainnet/49/49640c0b505315e28f97bf83810112c174bd924a_FoMoFAIR.sol,FoMoFAIR,v0.4.26,16
/home/yy/Dataset/mainnet/64/647f274b3a7248d6cf51b35f08e7e7fd6edfb271_MaggieToken.sol,MaggieToken,v0.4.26,16678
/home/yy/Dataset/mainnet/32/320d264117fa9f8d61c40a7df5c158a6eb5bb546_AirDropAFTK5May.sol,AirDropAFTK5May,v0.4.26,733
/home/yy/Dataset/mainnet/b4/b444264c33eF3c8F9Ba46DF194826C22D54d0D12_MainToken.sol,MainToken,v0.4.26,8
/home/yy/Dataset/mainnet/c0/c0ca5d82543c9d7f0616ada35a46b387b45115da_ElsaToken.sol,ElsaToken,v0.4.26,31
/home/yy/Dataset/mainnet/ee/ee3dc775669d2415cad8b5b424e6c97ad60ebef5_EncryptedToken.sol,EncryptedToken,v0.4.26,33
/home/yy/Dataset/mainnet/b3/b3af30d208f55076039e059be536d87955a54c6f_DINAR.sol,DINAR,v0.4.26,8
/home/yy/Dataset/mainnet/fa/fa3416d20ba07282742d67aa6c5dd0710dcbd9cb_FeneroToken.sol,FeneroToken,v0.4.26,13
/home/yy/Dataset/mainnet/c3/c324a2f6b05880503444451b8b27e6f9e63287cb_CentrallyIssuedToken.sol,CentrallyIssuedToken,v0.4.26,19278
/home/yy/Dataset/mainnet/dc/dc24805aeE05a6c0dEb61bcd08c0d814CB9d73F9_Token.sol,Token,v0.4.26,169
