path,mode,coverage,index,find_bug_count,depend_contract_num,record_time
/home/yy/ConFuzzius-Cross/examples/T.sol,cross,66.00496277915633,1,3,1,2022-10-03 17:46:57
/home/yy/ConFuzzius-Cross/examples/T.sol,single,66.00496277915633,1,3,0,2022-10-03 17:46:57
